# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:04:03.181Z
# export_time=2026-05-17T18:04:10.899Z
# n_trials=1400
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=3
# note=sweep_N=[10,20,40,70,100,150,200]
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
47,10,468732,3.5000000000000004,8,1.6666666666666667,0.47619047619047616,0.20833333333333334,12.899494936611665,1.0080922576827978,0.03705014909927696,0.006002358194903151,3.3333333333333335,10,2,6,0.8944650000000252
48,10,478705,3.166666666666666,8,1.6666666666666667,0.5263157894736843,0.20833333333333334,12.485281374238573,1.0482127646618313,0.0938352999646666,0.044970379573914046,3.3333333333333335,7,2,6,0.8248849999999948
49,10,488678,2.333333333333333,8,1.6666666666666667,0.7142857142857144,0.20833333333333334,9.65685424949238,1.0080922576827975,0.20770868225287437,0.17015249985290817,4,8,2.4,6,0.9687429999999608
50,10,498651,2.6666666666666665,11.999999999999998,1.6666666666666667,0.6250000000000001,0.13888888888888892,11.485281374238571,1.1141139977578598,0.3539671963563676,0.4078248453847295,3.6363636363636362,9,2.2,5,5.063112999999987
51,10,508624,2.666666666666666,8,1.6666666666666667,0.6250000000000002,0.20833333333333334,11.485281374238571,0.9817076958035932,0.057265565464024226,0.008246795666912304,3.6363636363636362,8,2.2,4,2.279421999999954
52,10,518597,2.8333333333333326,8,1.6666666666666667,0.5882352941176472,0.20833333333333334,11.071067811865477,1.0130399794677405,0.04450916190558143,0.017306858600159496,3.6363636363636362,6,2.2,5,1.9789130000000341
53,10,528570,4.999999999999999,12,1.6666666666666667,0.3333333333333334,0.1388888888888889,14.313708498984763,1.2267844146385298,0.26110087085131484,0.21591208152601887,3.076923076923077,7,1.8,7,1.4463509999999928
54,10,538543,2.833333333333333,9.000000000000002,1.6666666666666667,0.5882352941176472,0.18518518518518515,13.899494936611667,1.0452272480183435,0.05681026763506108,-0.00831138766660745,3.3333333333333335,5,1.8,3,1.348639999999989
55,10,548516,2.999999999999999,12,1.6666666666666667,0.5555555555555557,0.1388888888888889,11.071067811865476,1.000624804809475,0.1014041436967836,0.020492942085239045,3.6363636363636362,7,2.2,6,0.7641320000000178
56,10,558489,2.1666666666666665,8,1.6666666666666667,0.7692307692307693,0.20833333333333334,11.071067811865476,1.0325938214031691,0.16012583681620213,0.03314080108247456,3.6363636363636362,9,2.2,6,0.6243920000000003
57,10,568462,2.6666666666666665,11.999999999999998,1.6666666666666667,0.6250000000000001,0.13888888888888892,13.899494936611667,0.9848857801796104,0.05502710171112762,0.020966983793757433,3.6363636363636362,9,1.8,6,1.6187029999999822
58,10,578435,3.000000000000001,8.000000000000002,1.6666666666666667,0.5555555555555555,0.2083333333333333,12.071067811865476,1.0331989159885913,0.06740013930861245,-0.03372797427734508,3.3333333333333335,9,2,5,0.5760420000000295
59,10,588408,3.333333333333333,8,1.6666666666666667,0.5000000000000001,0.20833333333333334,12.485281374238571,1.056527330455772,0.1562595225525393,0.12019367351145999,3.3333333333333335,10,2,5,0.6841630000000123
60,10,598381,2.8333333333333335,8,1.6666666666666667,0.5882352941176471,0.20833333333333334,11.485281374238573,0.9785192895390462,0.03551050180995167,0.006757587191758026,3.6363636363636362,8,2.2,5,0.7606949999999983
